White Female,Black Female,White Male,Black Male
Allison,Aisha,Brad,Darnell
Anne,Ebony,Brendan,Hakim
Carrie,Keisha,Geoffrey,Jermaine
Emily,Kenya,Greg,Kareem
Jilly,Latonya,Brett,Jamal
Laurie,Lakisha,Jay,Leroy
Kristen,Latoya,Matthew,Rasheed
Meredith,Tamika,Neil,Tremayne
Molly,Imani,Jake,DeShawn
Amy,Ebony,Connor,DeAndre
Claire,Shanice,Tanner,Marquis
Emily,Aaliyah,Wyatt,Darnell
Katie,Precious,Cody,Terrell
Madeline,Nia,Dustin,Malik
Katelyn,Deja,Luke,Trevon
Emma,Diamond,Jack,Tyrone
,Latanya,,
,Latisha,,
